date,open,high,low,close,volume
2009-01-30,308.5995,352.33,282.75,338.53,219542700.0
2009-02-27,334.27,381.0,329.55,337.99,222946400.0
2009-03-31,333.33,359.16,289.45,348.06,227721500.0
2009-04-30,343.78,403.75,340.61,395.97,175489100.0
2009-05-29,395.03,417.2329,384.69,417.23,113955500.0
2009-06-30,418.73,447.34,401.8901,421.59,140780100.0
2009-07-31,424.2,452.7,395.9801,443.05,145887200.0
2009-08-31,448.74,474.35,438.5605,461.67,97378800.0
2009-09-30,459.68,507.0,452.59,495.85,102056300.0
2009-10-30,493.0,561.64,482.6,536.12,154193500.0
2009-11-30,537.08,587.0599,528.241,583.0,81729700.0
2009-12-31,588.13,625.99,579.18,619.98,85154200.0
2010-01-29,626.95,629.51,525.61,529.944,178021600.0
2010-02-26,534.602,547.5,520.0,526.8,103963600.0
2010-03-31,529.2,588.275,527.74,567.12,167380600.0
2010-04-30,571.35,597.84,521.03,525.695,145974700.0
2010-05-28,526.5,532.92,460.0,485.63,162958300.0
2010-06-30,480.43,509.25,444.72,444.95,119605600.0
2010-07-30,445.29,497.5,433.63,484.85,138480300.0
2010-08-31,488.99,508.6,447.65,450.02,105603500.0
2010-09-30,454.98,536.849,452.5,525.79,119281400.0
2010-10-29,530.0,624.74,518.8501,613.7,158536000.0
2010-11-30,615.73,630.85,553.31,555.71,116766000.0
2010-12-31,563.0,607.0,562.4,593.97,84484800.0
2011-01-31,596.48,642.96,595.55,600.36,119847800.0
2011-02-28,604.49,631.18,601.35,613.4,83653600.0
2011-03-31,617.78,619.22,551.2801,586.76,120156600.0
2011-04-29,588.76,595.19,519.0,544.1,140342000.0
2011-05-31,545.7,545.73,513.4,529.02,90564200.0
2011-06-30,528.04,533.1999,473.02,506.38,118130800.0
2011-07-29,506.74,627.4992,506.38,603.69,161948200.0
2011-08-31,611.22,615.5,490.86,540.96,213336700.0
2011-09-30,540.75,558.52,510.5,515.04,117140800.0
2011-10-31,509.85,602.7,480.596,592.64,154275400.0
2011-11-30,580.1,618.3,561.33,599.39,120479300.0
2011-12-30,600.0,646.76,599.0,645.9,109983800.0
2012-01-31,652.94,670.25,564.55,580.11,147136900.0
2012-02-29,584.94,625.6,579.14,618.25,94633500.0
2012-03-30,622.26,658.589,593.84,641.24,94564700.0
2012-04-30,640.77,653.14,590.2,604.85,117636800.0
2012-05-31,603.79,637.85,579.0,580.86,117228000.0
2012-06-29,571.79,587.89,556.5201,580.07,92914500.0
2012-07-31,581.82,642.6,562.09,632.97,102469600.0
2012-08-31,637.3,688.99,623.41,685.09,94031300.0
2012-09-28,684.55,764.89,673.5,754.5,120233800.0
2012-10-31,759.05,774.38,669.7,680.2976,143452800.0
2012-11-30,679.5,699.22,636.0,698.37,93264000.0
2012-12-31,702.24,738.28,682.3301,707.38,83306700.0
2013-01-31,719.42,760.95,695.52,755.69,104704600.0
2013-02-28,758.2,808.97,758.1,801.2,92587100.0
2013-03-28,797.8,844.0,793.3,794.188,85011800.0
2013-04-30,795.01,827.64,761.2601,824.57,106996300.0
2013-05-31,823.26,920.6,816.36,871.218,98734600.0
2013-06-28,873.0,910.84,847.22,880.37,97063000.0
2013-07-31,886.45,928.0,875.61,887.75,102387300.0
2013-08-30,895.0,909.709,845.56,846.9,66906000.0
2013-09-30,854.36,905.99,853.95,875.91,66180000.0
2013-10-31,880.25,1041.52,842.98,1030.58,110337300.0
2013-11-29,1031.79,1068.0,1005.0,1059.59,52459700.0
2013-12-31,1063.51,1121.0,1049.02,1120.71,67617600.0
2014-01-31,1115.46,1186.54,1082.27,1180.97,108913300.0
2014-02-28,1179.2,1228.88,1128.02,1215.65,81010500.0
2014-03-31,1206.75,1226.99,1102.1,1114.51,87224100.0
2014-04-30,1120.27,1144.8,511.0,534.88,68887600.0
2014-05-30,534.25,577.66,511.09,571.65,41456800.0
2014-06-30,569.75,589.6,547.47,584.67,39445800.0
2014-07-31,587.65,608.91,572.1001,579.55,38583300.0
2014-08-29,578.555,597.81,567.45,582.36,29046600.0
2014-09-30,582.95,605.4,577.01,588.41,35413703.0
2014-10-31,586.8,592.4,518.41,567.87,55503010.0
2014-11-28,563.53,567.15,539.19,549.08,29775322.0
2014-12-31,545.09,548.79,497.19,530.66,54469614.0
2015-01-30,532.6,545.41,490.91,537.55,52843510.0
2015-02-27,534.32,569.42,521.72,562.63,40420326.0
2015-03-31,567.0,583.2,550.33,554.7,43207344.0
2015-04-30,554.83,584.7,529.0,548.77,43746541.0
2015-05-29,550.51,558.24,532.235,545.32,32421761.0
2015-06-30,548.73,565.61,538.8506,540.04,35218182.0
2015-07-31,543.66,713.33,539.76,657.5,68543766.0
2015-08-31,657.66,704.0,593.09,647.82,55344735.0
2015-09-30,633.66,681.99,617.84,638.37,43458108.0
2015-10-30,637.94,752.5,631.115,737.39,50293840.0
2015-11-30,737.88,782.9,731.45,762.85,37574197.0
2015-12-31,766.94,798.69,736.26,778.01,43650531.0
2016-01-29,762.2,769.2,687.78,761.35,51999240.0
2016-02-29,771.26,810.35,682.01,717.22,67647477.0
2016-03-31,721.3,777.31,704.0,762.9,42564849.0
2016-04-29,757.16,790.95,703.2,707.88,46661769.0
2016-05-31,711.92,753.48,704.05,748.85,34108232.0
2016-06-30,748.47,751.37,672.66,703.53,41979195.0
2016-07-29,705.1,803.94,699.0,791.34,32667502.0
2016-08-31,786.67,813.879,785.04,789.85,28857075.0
2016-09-30,791.98,819.06,783.5,804.06,31576994.0
2016-10-31,802.55,839.0,796.23,809.9,35391730.0
2016-11-30,810.87,816.04,743.59,775.88,48353316.0
2016-12-30,778.55,824.3,753.36,792.45,34356689.0
2017-01-31,800.62,867.0,796.89,820.19,36840255.0
2017-02-28,824.0,853.79,812.05,844.93,26492197.0
2017-03-31,851.38,874.42,824.3,847.8,34553208.0
2017-04-28,848.75,935.9,834.6,924.52,24344962.0
2017-05-31,924.15,999.6,920.8,987.09,34853054.0
2017-06-30,990.96,1008.61,929.6,929.68,43247076.0
2017-07-31,933.22,1006.19,915.31,945.5,40338583.0
2017-08-31,947.81,957.2,918.6,955.24,31859046.0
2017-09-29,957.47,975.81,924.51,973.72,28940676.0
2017-10-31,975.65,1063.62,961.95,1033.04,35135039.0
2017-11-30,1036.32,1080.0,1028.66,1036.17,27914714.0
2017-12-29,1030.41,1086.49,1002.32,1053.4,29093692.0
2018-01-31,1053.02,1198.0,1053.02,1182.22,31746835.0
2018-02-28,1175.99,1187.45,997.0,1103.92,48581820.0
2018-03-29,1109.54,1178.16,984.0,1037.14,50738448.0
2018-04-30,1027.62,1097.51,994.25,1018.58,49252199.0
2018-05-31,1016.3,1118.15,1007.89,1100.0,37036543.0
2018-06-29,1112.87,1201.49,1106.07,1129.19,40184605.0
2018-07-31,1115.35,1291.44,1106.6,1227.22,41806085.0
2018-08-31,1239.11,1271.96,1204.0,1231.8,34298428.0
2018-09-28,1222.52,1227.87,1151.5,1207.08,35927191.0
2018-10-31,1213.0,1224.52,1007.2,1090.58,56549878.0
2018-11-20,1091.4,1109.93,1002.21,1030.45,27016601.0
